status, ch0, ch1, ch2, ch3, ch4, ch5, ch6, ch7 
0,-5051695,-5009525,-5243158,-2800657,-4861478,-4751252,-5269330,-907519 
0,-5041986,-5012821,-5246169,-2786152,-4865221,-4755789,-5266819,-909816 
0,-5041539,-5010642,-5243952,-2780399,-4863097,-4753529,-5263062,-920321 
0,-5050934,-5006699,-5240381,-2790870,-4858439,-4748509,-5264212,-924230 
0,-5057249,-5005936,-5239965,-2804073,-4857705,-4747349,-5268069,-918336 
0,-5051599,-5009749,-5243501,-2801342,-4861881,-4751867,-5269104,-909389 
0,-5041720,-5012724,-5246164,-2786131,-4865180,-4756047,-5265903,-910555 
0,-5041937,-5010684,-5244146,-2780147,-4863052,-4753797,-5262952,-919311 
0,-5051202,-5006442,-5240173,-2791051,-4858344,-4748312,-5264232,-923415 
0,-5057299,-5006009,-5239724,-2804988,-4857432,-4747236,-5268093,-918799 
0,-5051420,-5010077,-5243519,-2802116,-4861742,-4751942,-5269203,-910361 
0,-5041662,-5012770,-5246168,-2785756,-4865099,-4755808,-5266041,-910186 
0,-5042129,-5010461,-5243911,-2781317,-4862911,-4753399,-5262981,-921382 
0,-5051499,-5006529,-5240055,-2791758,-4858196,-4748114,-5264426,-924172 
0,-5057593,-5006543,-5240079,-2804973,-4857721,-4747395,-5268623,-918304 
0,-5051406,-5010452,-5243887,-2801682,-4862102,-4752236,-5269477,-910241 
0,-5041666,-5013051,-5246437,-2785554,-4865543,-4756206,-5266027,-910848 
0,-5042232,-5010370,-5243914,-2779335,-4862816,-4753467,-5262827,-918222 
0,-5052000,-5006459,-5240211,-2791134,-4858330,-4748190,-5264617,-922320 
0,-5057471,-5006266,-5239957,-2804776,-4857821,-4747259,-5268262,-917677 
0,-5051129,-5010385,-5243840,-2801371,-4862022,-4752231,-5269229,-910457 
0,-5041737,-5013167,-5246409,-2785624,-4865380,-4756239,-5266152,-911934 
0,-5042502,-5010480,-5243773,-2781067,-4862592,-4753318,-5262919,-921459 
0,-5052112,-5006612,-5239971,-2792127,-4858005,-4747974,-5264529,-923697 
0,-5057341,-5006336,-5239796,-2803954,-4857487,-4747041,-5268454,-916276 
0,-5050987,-5010527,-5243981,-2800284,-4862421,-4752278,-5269726,-909379 
0,-5041787,-5013067,-5246616,-2785866,-4866041,-4756339,-5266268,-913025 
0,-5042694,-5010038,-5243831,-2781008,-4862914,-4753277,-5262912,-921286 
0,-5052223,-5006021,-5239922,-2793122,-4858032,-4747900,-5264355,-924756 
0,-5057399,-5006287,-5240017,-2806089,-4858021,-4747329,-5268484,-919377 
0,-5050947,-5010948,-5244324,-2803537,-4862814,-4752638,-5269763,-915566 
0,-5041390,-5013176,-5246479,-2785391,-4865334,-4756051,-5265727,-913561 
0,-5042441,-5009963,-5243375,-2779359,-4862297,-4752832,-5262455,-919099 
0,-5052366,-5006093,-5239771,-2791875,-4857829,-4747855,-5264547,-922240 
0,-5057384,-5006148,-5240062,-2805726,-4858174,-4747599,-5268422,-918702 
0,-5050376,-5010397,-5244185,-2800797,-4862836,-4752778,-5269151,-911492 
0,-5041298,-5012917,-5246469,-2783324,-4865573,-4756397,-5265682,-910684 
0,-5043267,-5010191,-5243747,-2780779,-4862721,-4753413,-5263028,-921063 
0,-5052934,-5006236,-5239889,-2794774,-4858012,-4747962,-5264962,-926844 
0,-5057533,-5006626,-5240306,-2806448,-4857969,-4747648,-5268916,-920174 
0,-5050029,-5010861,-5244301,-2799714,-4862706,-4752766,-5269111,-910826 
0,-5041003,-5012704,-5246187,-2783538,-4865355,-4755899,-5265449,-912450 
0,-5043137,-5009576,-5243318,-2779328,-4862057,-4752485,-5263004,-919454 
0,-5053051,-5005866,-5239851,-2791887,-4857949,-4747491,-5264981,-921259 
0,-5057528,-5006467,-5240449,-2804987,-4858274,-4747485,-5268801,-916772 
0,-5049988,-5010816,-5244532,-2797762,-4862976,-4752964,-5269034,-907559 
0,-5041107,-5012702,-5246349,-2781804,-4865452,-4756081,-5265424,-910024 
0,-5043307,-5009462,-5243191,-2778903,-4862030,-4752525,-5262869,-918494 
0,-5053201,-5005839,-5239635,-2792885,-4857639,-4747488,-5265323,-922464 
0,-5057362,-5006557,-5240293,-2805129,-4858136,-4747580,-5269318,-917007 
0,-5049768,-5011137,-5244688,-2798632,-4863506,-4753302,-5269321,-909567 
0,-5041107,-5012911,-5246314,-2784076,-4865612,-4756408,-5265412,-914464 
0,-5043415,-5009353,-5242972,-2780206,-4861807,-4752541,-5262512,-920646 
0,-5053393,-5005801,-5239686,-2793829,-4858087,-4747715,-5264799,-923052 
0,-5057057,-5006378,-5240281,-2804612,-4858378,-4747841,-5268576,-915732 
0,-5049134,-5010794,-5244383,-2797576,-4862879,-4753079,-5268936,-908398 
0,-5040856,-5012673,-5246174,-2783474,-4865182,-4755911,-5265371,-913631 
0,-5043776,-5009276,-5242990,-2782122,-4861716,-4752199,-5262864,-923266 
0,-5053875,-5005947,-5239646,-2796604,-4857374,-4747421,-5265531,-926885 
0,-5057342,-5006806,-5240596,-2806489,-4858391,-4747992,-5268994,-918312 
0,-5048899,-5010830,-5244577,-2797456,-4863363,-4753244,-5268622,-908717 
0,-5040716,-5012493,-5246192,-2782266,-4865659,-4755938,-5264793,-911970 
0,-5043781,-5009105,-5242826,-2779101,-4861747,-4751982,-5262298,-917643 
0,-5053869,-5005724,-5239580,-2792857,-4857686,-4747341,-5265020,-919216 
0,-5057150,-5006729,-5240619,-2804474,-4858734,-4748132,-5268927,-914099 
0,-5048859,-5011177,-5244891,-2797149,-4863673,-4753659,-5269201,-908312 
0,-5040627,-5012614,-5246106,-2781869,-4865091,-4755960,-5265127,-911954 
0,-5044169,-5009264,-5242913,-2780535,-4861416,-4752182,-5262839,-919958 
0,-5054047,-5005732,-5239621,-2794609,-4857317,-4747358,-5265269,-921545 
0,-5057064,-5006701,-5240777,-2805681,-4858571,-4748177,-5268904,-915764 
0,-5048506,-5011002,-5244907,-2798420,-4863636,-4753875,-5268828,-910934 
0,-5040577,-5012328,-5246087,-2782718,-4865247,-4756167,-5264983,-913924 
0,-5044081,-5008674,-5242491,-2781944,-4861109,-4751667,-5262464,-921931 
0,-5053922,-5005454,-5239303,-2795704,-4857178,-4746988,-5265057,-922699 
0,-5056575,-5006731,-5240492,-2805462,-4858394,-4747977,-5268819,-915326 
0,-5048026,-5011179,-5244736,-2797166,-4863600,-4753636,-5268694,-909521 
0,-5040307,-5012222,-5245667,-2782099,-4865047,-4755686,-5264881,-913350 
0,-5044243,-5008729,-5242192,-2781158,-4860767,-4751274,-5262786,-920200 
0,-5054192,-5005480,-5239246,-2795323,-4857379,-4746921,-5265311,-920847 
0,-5056681,-5006662,-5240639,-2805557,-4858861,-4748091,-5268855,-914811 
0,-5047763,-5011042,-5244719,-2797599,-4863789,-4753587,-5268411,-910827 
0,-5040018,-5011973,-5245478,-2781169,-4865002,-4755299,-5264169,-912655 
0,-5044590,-5008509,-5242201,-2781331,-4861025,-4751275,-5262564,-919984 
0,-5054448,-5005358,-5239152,-2795819,-4856980,-4746829,-5265524,-920966 
0,-5056460,-5006814,-5240509,-2805947,-4858566,-4748087,-5268899,-915275 
0,-5047401,-5011275,-5244744,-2796954,-4863522,-4753507,-5268452,-910026 
0,-5040352,-5012346,-5245746,-2783619,-4864975,-4755333,-5264521,-916604 
0,-5044932,-5008696,-5242109,-2784730,-4860820,-4751062,-5262700,-925337 
0,-5054906,-5005773,-5239271,-2798009,-4857019,-4746886,-5266007,-923516 
0,-5056759,-5007207,-5240976,-2806311,-4859122,-4748500,-5269381,-915133 
0,-5047380,-5011382,-5245057,-2796158,-4864120,-4753973,-5268097,-908897 
0,-5040115,-5011981,-5245529,-2781166,-4864725,-4755447,-5263812,-912668 
0,-5044903,-5008199,-5241897,-2782686,-4860666,-4751022,-5262359,-921412 
0,-5054824,-5005432,-5239267,-2798261,-4857554,-4746999,-5265575,-923208 
0,-5056367,-5007227,-5241012,-2806978,-4859322,-4748449,-5269194,-916411 
0,-5047165,-5011915,-5245302,-2795345,-4863898,-4754047,-5268796,-908214 
0,-5040309,-5012450,-5245810,-2780956,-4864846,-4755508,-5264518,-912760 
0,-5045016,-5008178,-5241832,-2782640,-4860407,-4750917,-5262589,-920946 
0,-5054916,-5005484,-5239351,-2797727,-4857257,-4746849,-5265841,-921712 
0,-5056331,-5007702,-5241277,-2805670,-4859209,-4748456,-5269336,-913957 
0,-5047126,-5012229,-5245617,-2794937,-4864617,-4754363,-5268532,-908343 
0,-5040483,-5012394,-5245947,-2781883,-4865411,-4755694,-5264277,-915122 
0,-5045430,-5008108,-5241999,-2783583,-4860731,-4750822,-5262582,-922520 
0,-5055199,-5005512,-5239490,-2798932,-4857329,-4747081,-5265835,-923314 
0,-5056386,-5007747,-5241516,-2807057,-4859343,-4749042,-5269429,-916450 
0,-5046651,-5011875,-5245313,-2796905,-4864141,-4754342,-5268434,-913023 
0,-5040223,-5012095,-5245432,-2782285,-4864528,-4755169,-5264420,-917106 
0,-5045661,-5008184,-5241712,-2784114,-4860306,-4750279,-5262830,-923282 
0,-5055251,-5005660,-5239274,-2797978,-4857365,-4746492,-5266006,-921065 
0,-5055932,-5007711,-5241290,-2805981,-4859417,-4748742,-5269191,-914652 
0,-5046335,-5011992,-5245402,-2794545,-4864288,-4754359,-5268262,-909387 
0,-5040291,-5012084,-5245529,-2780978,-4864807,-4755224,-5264291,-914999 
0,-5045917,-5007937,-5241650,-2783924,-4860221,-4750391,-5262859,-922778 
0,-5055487,-5005336,-5239321,-2799805,-4857356,-4746798,-5266074,-923809 
0,-5055890,-5007611,-5241534,-2806151,-4859422,-4748967,-5269269,-915061 
0,-5046044,-5011817,-5245522,-2793376,-4864327,-4754477,-5268071,-908686 
0,-5040170,-5011668,-5245454,-2780347,-4864846,-4755294,-5263967,-915084 
0,-5046195,-5007663,-5241602,-2784642,-4860185,-4750299,-5262827,-924393 
0,-5055679,-5005459,-5239424,-2798967,-4857226,-4746472,-5266400,-922286 
