0[-8289632, -7647975, -7859010, -7656467, -8112294, -8156999, -8329501, -8388608]
6[-8290063, -7648097, -7847405, -7656518, -8112051, -8156777, -8329281, -8388608]
6[-8291296, -7648291, -7833954, -7656657, -8111776, -8156528, -8329031, -8388608]
6[-8291259, -7648264, -7837229, -7656713, -8111641, -8156416, -8328915, -8388608]
6[-8289669, -7647854, -7850101, -7656298, -8111455, -8156252, -8328752, -8388608]
6[-8288657, -7647921, -7849333, -7656272, -8111164, -8155986, -8328483, -8388608]
6[-8289181, -7648122, -7837662, -7656586, -8110990, -8155832, -8328327, -8388608]
6[-8290525, -7648306, -7824462, -7656573, -8110823, -8155687, -8328184, -8388608]
6[-8290457, -7648791, -7828211, -7657292, -8110699, -8155584, -8328085, -8388608]
6[-8288921, -7648512, -7840496, -7656728, -8110579, -8155482, -8327972, -8388608]
6[-8287982, -7648348, -7838887, -7656812, -8110368, -8155297, -8327790, -8388608]
6[-8288472, -7648266, -7827257, -7656661, -8110130, -8155081, -8327576, -8388608]
6[-8289761, -7648003, -7814364, -7656577, -8109908, -8154877, -8327366, -8388608]
6[-8289603, -7648281, -7818966, -7656712, -8109737, -8154732, -8327215, -8388608]
6[-8287997, -7648163, -7831680, -7656676, -8109566, -8154587, -8327070, -8388608]
6[-8287172, -7648264, -7829494, -7656567, -8109379, -8154421, -8326909, -8388608]
6[-8287687, -7648432, -7817599, -7656786, -8109140, -8154205, -8326696, -8388608]
6[-8288982, -7648219, -7804691, -7656737, -8108950, -8154036, -8326521, -8388608]
6[-8288669, -7647957, -7809570, -7656661, -8108680, -8153791, -8326275, -8388608]
6[-8287026, -7648041, -7822014, -7656564, -8108461, -8153592, -8326074, -8388608]
6[-8286212, -7648137, -7819916, -7656391, -8108273, -8153426, -8325909, -8388608]
6[-8286812, -7648630, -7808012, -7656954, -8108093, -8153270, -8325756, -8388608]
6[-8288260, -7648793, -7795145, -7657116, -8108024, -8153224, -8325704, -8388608]
6[-8288014, -7648816, -7800007, -7656980, -8107842, -8153064, -8325543, -8388608]
6[-8286359, -7648620, -7812223, -7656976, -8107651, -8152893, -8325374, -8388608]
6[-8285571, -7648605, -7809912, -7656979, -8107474, -8152738, -8325214, -8388608]
6[-8286172, -7648792, -7797926, -7656969, -8107293, -8152577, -8325056, -8388608]
6[-8287368, -7648326, -7785236, -7656645, -8107011, -8152320, -8324798, -8388608]
6[-8287136, -7648787, -7790258, -7657196, -8106810, -8152145, -8324619, -8388608]
6[-8285490, -7648769, -7802377, -7656986, -8106617, -8151974, -8324449, -8388608]
6[-8284628, -7648907, -7799874, -7657224, -8106374, -8151754, -8324227, -8388608]
6[-8285318, -7649272, -7787490, -7657465, -8106251, -8151653, -8324123, -8388608]
6[-8286614, -7649194, -7774703, -7657297, -8106057, -8151486, -8323952, -8388608]
6[-8286366, -7649274, -7780014, -7657447, -8105914, -8151364, -8323831, -8388608]
6[-8284789, -7649762, -7791637, -7657904, -8105753, -8151228, -8323691, -8388608]
6[-8283921, -7649142, -7788437, -7657525, -8105494, -8150989, -8323452, -8388608]
6[-8284572, -7649267, -7776166, -7657504, -8105321, -8150839, -8323303, -8388608]
6[-8286009, -7649758, -7763616, -7657997, -8105254, -8150796, -8323258, -8388608]
6[-8285719, -7649494, -7769388, -7657633, -8105147, -8150709, -8323168, -8388608]
6[-8283988, -7649181, -7781337, -7657689, -8104906, -8150493, -8322946, -8388608]
6[-8283330, -7649509, -7777850, -7657661, -8104781, -8150389, -8322841, -8388608]
6[-8283886, -7648960, -7765709, -7657261, -8104526, -8150157, -8322607, -8388608]
6[-8285123, -7649094, -7753702, -7657362, -8104253, -8149911, -8322358, -8388608]
6[-8284861, -7649391, -7759650, -7657890, -8104137, -8149814, -8322259, -8388608]
6[-8283252, -7649644, -7771489, -7657997, -8103998, -8149697, -8322146, -8388608]
6[-8282601, -7650012, -7768227, -7658145, -8103888, -8149604, -8322055, -8388608]
6[-8283256, -7649676, -7755777, -7658112, -8103704, -8149444, -8321896, -8388608]
6[-8284519, -7649589, -7743632, -7657954, -8103494, -8149261, -8321709, -8388608]
6[-8284107, -7649782, -7749549, -7657999, -8103257, -8149043, -8321495, -8388608]
6[-8282598, -7650141, -7761182, -7658565, -8103173, -8148984, -8321434, -8388608]
6[-8281902, -7649784, -7758122, -7658022, -8103071, -8148900, -8321346, -8388608]
